,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
403,Gorkys Hernandez,31,0,MLB-AL,Boston,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
404,Marco Hernandez,26,1,MLB-AL,Boston,42,95,89,14,27,5,0,2,8,2,0,19,3,1,0,1,1,2,0.303,0.34,0.42700000000000005,0.767
405,Teoscar Hernandez,26,1,MLB-AL,Toronto,105,387,347,51,77,15,1,21,52,38,1,123,1,0,1,5,4,3,0.222,0.3,0.452,0.752
406,Odubel Herrera,27,98,MLB-NL,Philadelphia,39,139,126,12,28,10,1,1,16,11,0,33,1,0,1,0,2,2,0.222,0.28800000000000003,0.341,0.629
407,Rosell Herrera,26,75,MLB-NL,Miami,62,119,105,10,21,6,0,2,11,11,1,27,2,1,0,2,4,1,0.2,0.28800000000000003,0.314,0.602
408,Chris Herrmann,31,1,MLB-AL,Oakland,29,92,82,9,16,3,0,1,8,9,0,28,0,1,0,4,0,0,0.195,0.275,0.268,0.5429999999999999
409,David Hess,25,34,MLB-AL,Baltimore,2,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0
410,Jason Heyward,29,0,MLB-NL,Chicago,126,506,446,64,113,16,4,18,49,54,5,97,4,0,2,11,7,1,0.253,0.33799999999999997,0.428,0.7659999999999999
411,Aaron Hicks,29,29,MLB-AL,New York,59,255,221,41,52,10,0,12,36,31,0,72,0,0,3,2,1,1,0.235,0.325,0.44299999999999995,0.769
412,John Hicks,29,1,MLB-AL,Detroit,84,299,286,27,61,14,0,11,27,12,0,97,0,0,1,7,1,0,0.213,0.244,0.37799999999999995,0.622
413,Kyle Higashioka,29,25,MLB-AL,New York,10,40,39,7,10,4,0,3,9,0,0,18,0,0,1,1,0,0,0.256,0.25,0.59,0.84
414,Rich Hill,39,79,MLB-NL,Los Angeles,8,17,15,0,2,0,0,0,1,1,0,7,0,1,0,0,0,0,0.133,0.188,0.133,0.321
415,Sam Hilliard,25,0,MLB-NL,Colorado,6,18,17,3,5,0,1,2,5,1,0,4,0,0,0,0,0,0,0.294,0.33299999999999996,0.765,1.0979999999999999
417,Keston Hiura,22,2,MLB-NL,Milwaukee,70,295,266,44,80,20,2,16,43,23,1,89,6,0,0,4,9,3,0.301,0.369,0.5710000000000001,0.941
418,Jeff Hoffman,26,0,MLB-NL,Colorado,12,16,15,1,3,0,0,0,1,0,0,7,0,1,0,0,0,0,0.2,0.2,0.2,0.4
419,Bryan Holaday,31,0,MLB-NL,Miami,33,107,94,10,27,5,0,3,10,10,2,17,1,1,1,5,0,1,0.287,0.358,0.436,0.795
420,Derek Holland,32,9,MLB-NL,"San Francisco,Chicago",13,15,13,0,1,0,0,0,0,1,0,9,0,1,0,0,0,0,0.077,0.14300000000000002,0.077,0.22
421,Clay Holmes,26,12,MLB-NL,Pittsburgh,4,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
422,Brock Holt,31,0,MLB-AL,Boston,67,220,190,31,61,12,2,3,27,22,0,40,4,0,4,3,1,0,0.321,0.395,0.45299999999999996,0.848
